Alaska;USA Army 1
Hawaii;
Burkina-Faso;
Northern Territories;
West Coast Pacific;
Prairie Provinces;
Central Canada;Canada Army 1
Atlantic Region;
Pacific;USA Army 2
Mountain;
West North Central;
West South Central;
East North Central;
East South Central;
New England;USA Army 3
Mid-Atlantic;
South Atlantic;USA Army 4
Noroeste;Mexico Army 2
Noreste;
Occidente;
Oriente;
Centronorte;
Centrosur;Mexico Army 1
Sureste;
Suroeste;
Guatemala;
Belize;
Gonduras;
Salvador;
Nicaragua;
Costa Rica;
Panama;Panama Army 1
Jamaica;Jamaica Army 1
West Cuba;
Central Cuba;Cuba Army 1
East Cuba;
Bahamas;
Puerto Rico;
British Territories In the North Atlantic Ocean;
Haiti;Haiti Army 1
Dominican Republic;Dominican Republic Army 1
Saint Kitts and Nevis;
Antigua and Barbuda;
Guadeloupe and Martinique;
Dominica;
Saint Lucia;
Saint Vincent and the Grenadines;
Barbados;Barbados Army 1
Grenada;
Trinidad and Tobago;Trinidad and Tobago Army 1
East Venezuela;
Caracas;Venezuela Army 1
West Venezuela;
Region Caribe;Colombia Army 1
Region Pacifica;
Region Andina;
Region Llanos Orientales;
Region Amazonia;
Ecuador Costa;Ecuador Army 1
Ecuador Sierra;
Ecuador Oriente;
Galapagos Islands;
Peru Coast;Peru Army 1
Peru Andes;
Peru Amazonia;
Bolivia;Bolivia Army 1
North Chile;Chile Army 1
Central Chile;
South Chile;
Patagonia;Argentina Army 1
Pampas;
Mesopotamia;
Cuyo;
Andean Northwest;
Paraguay;Paraguay Army 1
Uruguay;Uruguay Army 1
South Brazil;
Southeast Brazil;
Central-West Brazil;Brazil Army 1
Northeast Brazil;
North Brazil;
French guiana;
Suriname;Suriname Army 1
Guyana;Guyana Army 1
Cabo Verde;Cabo Verde Army 1
West Sakhara;West Sakhara Army 1
Mavritaniya;Mavritaniya Army 1
Senegal;Senegal Army 1
Gambia;Gambia Army 1
Guinea-Bissau;Guinea-Bissau Army 1
Guinea;Guinea Army 1
Sierra Leone;Sierra Leone Army 1
Liberia;Liberia Army 1
Cote d'Ivoire;Cote d'Ivoire Army 1
Gana;Gana Army 1
Togo;Togo Army 1
Benin;Benin Army 1
South West Nigeria;
South Nigeria;
South East Nigeria;Nigeria Army 1
North Central Nigeria;
North West Nigeria;
North East Nigeria;
North Cameroon;
Central Cameroon;Cameroon Army 1
West Cameroon;
South Cameroon;
Gabon;Gabon Army 1
Equatorial Guinea;Equatorial Guinea Army 1
Sao Tome;Sao Tome Army 1
Congo;Congo Army 1
Democratic Republic of the Congo;Democratic Republic of the Congo Army 1
Angola;Angola Army 1
Luanda;
Namibia;Namibia Army 1
Transvaal;
Cape;South African Republic Army 1
Free State;
KwaZulu Natal;
Lesotho;Lesotho Army 1
Eswatini;Eswatini Army 1
Botswana;Botswana Army 1
Zimbabwe;Zimbabwe Army 1
Mozambique;Mozambique Army 1
Malawi;Malawi Army 1
Zambia;Zambia Army 1
Tanzania;Tanzania Army 1
Burundi;Burundi Army 1
Rwanda;Rwanda Army 1
Uganda;Uganda Army 1
Kenya;Kenya Army 1
Somalia;Somalia Army 1
Somali;
Oromiya;Ethiopia Army 1
South Ethiopia;
North Ethiopia;
Djibouti;Djibouti Army 1
Eritrea;Eritrea Army 1
Northern Sudan;
Eastern Sudan;
Central Sudan;Sudan Army 1
Kurdufan;
Darfur;
South Sudan;
Central African Republic;Central African Republic Army 1
Chad;Chad Army 1
Niger;Niger Army 1
Mali;Mali Army 1
Algeria;Algeria Army 1
Marocco;Marocco Army 1
Tunisia;Tunisia Army 1
Lybia;Lybia Army 1
Lower Egypt;Egypt Army 1
Western Desert;
Middle Egypt;
Upper Egypt;
Red Sea Coast;
Sinai;
Israel;Israel Army 1
Palestine;Palestine Army 1
Jordan;Jordan Army 1
North Saudi Arabia;
West Saudi Arabia;Saudi Arabia Army 1
South Saudi Arabia;
Central Saudi Arabia;
East Saudi Arabia;
Yemen;Yemen Army 1
Oman;Oman Army 1
United Arab Emirates;United Arab Emirates Army 1
Qatar;Qatar Army 1
Bahrain;Bahrain Army 1
Kuwait;Kuwait Army 1
Southern Iraq;Iraq Army 1
Middle Euphartes;
Central Iraq;
Nothern Iraq;
East Syria;
Aleppo;Syria Army 1
South Syria;
Coastal Syria;
Lebanon;Lebanon Army 1
Cyprus;Cyprus Army 1
Mediterranean Region;Turkey Army 1
Southeast Anatolia Region;
Central East Anatolia Region;
Northeast Anatolia Region;
East Black Sea Region;
Central Anatolia Region;
West Black Sea Region;
West Anatolia Region;
Aegean Region;
East Marmara Region;
West Marmara Region;
Istanbul Region;Turkey Army 2
Aegean Isles;
Kentriki Ellada;
Attica;Greece Army 1
Voreia Ellada;
Albania;Albania Army 1
